date,year,month,day
"2024-03-23 00:00:00",2024,3,23
"2024-03-02 00:00:00",2024,3,2
"2024-01-26 00:00:00",2024,1,26
"2024-03-18 00:00:00",2024,3,18
"2024-01-05 00:00:00",2024,1,5
"2024-01-08 00:00:00",2024,1,8
"2024-03-04 00:00:00",2024,3,4
"2024-03-11 00:00:00",2024,3,11
"2024-03-30 00:00:00",2024,3,30
"2024-02-18 00:00:00",2024,2,18
"2024-03-16 00:00:00",2024,3,16
"2024-02-17 00:00:00",2024,2,17
"2024-03-25 00:00:00",2024,3,25
"2024-03-26 00:00:00",2024,3,26
"2024-02-20 00:00:00",2024,2,20
"2024-01-14 00:00:00",2024,1,14
"2024-01-23 00:00:00",2024,1,23
"2024-02-22 00:00:00",2024,2,22
"2024-01-15 00:00:00",2024,1,15
"2024-01-12 00:00:00",2024,1,12
"2024-01-07 00:00:00",2024,1,7
"2024-02-19 00:00:00",2024,2,19
"2024-02-14 00:00:00",2024,2,14
"2024-03-03 00:00:00",2024,3,3
"2024-02-27 00:00:00",2024,2,27
"2024-03-14 00:00:00",2024,3,14
"2024-01-16 00:00:00",2024,1,16
"2024-01-20 00:00:00",2024,1,20
"2024-02-23 00:00:00",2024,2,23
"2024-01-21 00:00:00",2024,1,21
"2024-01-24 00:00:00",2024,1,24
"2024-03-10 00:00:00",2024,3,10
"2024-01-18 00:00:00",2024,1,18
"2024-03-17 00:00:00",2024,3,17
"2024-02-26 00:00:00",2024,2,26
"2024-03-06 00:00:00",2024,3,6
"2024-02-12 00:00:00",2024,2,12
"2024-02-05 00:00:00",2024,2,5
"2024-01-25 00:00:00",2024,1,25
"2024-01-10 00:00:00",2024,1,10
"2024-03-24 00:00:00",2024,3,24
"2024-01-22 00:00:00",2024,1,22
"2024-02-03 00:00:00",2024,2,3
"2024-03-15 00:00:00",2024,3,15
"2024-01-02 00:00:00",2024,1,2
"2024-03-07 00:00:00",2024,3,7
"2024-01-06 00:00:00",2024,1,6
"2024-01-01 00:00:00",2024,1,1
"2024-02-29 00:00:00",2024,2,29
"2024-01-27 00:00:00",2024,1,27
"2024-02-10 00:00:00",2024,2,10
"2024-02-16 00:00:00",2024,2,16
"2024-01-29 00:00:00",2024,1,29
"2024-03-05 00:00:00",2024,3,5
"2024-03-20 00:00:00",2024,3,20
"2024-01-31 00:00:00",2024,1,31
"2024-02-11 00:00:00",2024,2,11
"2024-03-08 00:00:00",2024,3,8
"2024-03-19 00:00:00",2024,3,19
