transaction_id,vessel_name,port,fuel_type,quantity_mt,price_per_mt,date,supplier
"T001","MSC Diana","Shanghai","IFO380","449","453","02/02/2024","BP"
"T002","Ever Given","Busan","MGO","770","484","29/03/2024","Chevron"
"T003","OOCL Hong Kong","Rotterdam","IFO380","520","543","10/03/2024","Shell"
"T004","MSC Zoe","Shanghai","VLSFO","758","495","07/03/2024","Total"
"T005","Maersk McKinney Moller","Rotterdam","VLSFO","463","593","04/03/2024","Emirates Fuel"
"T006","Maersk McKinney Moller","Antwerp","VLSFO","783","633","08/03/2024","Chevron"
"T007","Maersk McKinney Moller","Shanghai","IFO380","749","578","18/01/2024","Chevron"
"T008","Maersk Line","Antwerp","MGO","793","541","18/03/2024","Emirates Fuel"
"T009","Maersk McKinney Moller","Busan","MGO","595","599","31/03/2024","Chevron"
"T010","MSC Oscar","Rotterdam","IFO380","571","630","14/01/2024","Total"
"T011","Maersk McKinney Moller","Antwerp","MGO","458","621","02/02/2024","Emirates Fuel"
"T012","OOCL Hong Kong","Shanghai","MGO","624","562","29/02/2024","Shell"
"T013","CMA CGM Jacques Saade","Fujairah","MGO","524","483","24/02/2024","Chevron"
"T014","MSC Oscar","Fujairah","VLSFO","483","554","01/02/2024","Shell"
"T015","OOCL Hong Kong","Antwerp","VLSFO","501","560","20/01/2024","Emirates Fuel"
"T016","Ever Given","Fujairah","VLSFO","484","632","26/02/2024","Emirates Fuel"
"T017","MSC Zoe","Antwerp","MGO","406","484","18/03/2024","Chevron"
"T018","MSC Oscar","Shanghai","MGO","681","480","21/02/2024","Total"
"T019","Maersk Line","Shanghai","IFO380","579","543","20/02/2024","Total"
"T020","Maersk Line","Fujairah","IFO380","527","627","05/02/2024","Shell"
"T021","CMA CGM Jacques Saade","Shanghai","MGO","424","608","01/01/2024","Shell"
"T022","HMM Algeciras","Singapore","MGO","478","557","03/03/2024","Total"
"T023","MSC Oscar","Antwerp","VLSFO","569","546","02/01/2024","Total"
"T024","OOCL Hong Kong","Rotterdam","IFO380","753","540","25/01/2024","Chevron"
"T025","OOCL Hong Kong","Antwerp","IFO380","545","460","23/02/2024","Emirates Fuel"
"T026","MSC Diana","Antwerp","VLSFO","779","496","28/03/2024","Chevron"
"T027","OOCL Hong Kong","Singapore","VLSFO","453","627","25/03/2024","Chevron"
"T028","OOCL Hong Kong","Antwerp","IFO380","450","475","03/03/2024","Emirates Fuel"
"T029","MSC Oscar","Busan","IFO380","636","451","15/02/2024","Chevron"
"T030","OOCL Hong Kong","Singapore","IFO380","617","572","22/03/2024","Emirates Fuel"
"T031","Maersk McKinney Moller","Fujairah","VLSFO","355","541","05/02/2024","BP"
"T032","MSC Diana","Rotterdam","IFO380","652","488","28/02/2024","Total"
"T033","CMA CGM Jacques Saade","Antwerp","VLSFO","681","644","03/02/2024","Total"
"T034","Ever Given","Fujairah","MGO","371","524","21/01/2024","Chevron"
"T035","Maersk Line","Shanghai","MGO","524","460","04/01/2024","Total"
"T036","MSC Zoe","Shanghai","VLSFO","421","514","08/03/2024","Shell"
"T037","HMM Algeciras","Antwerp","MGO","582","508","26/02/2024","Total"
"T038","Ever Given","Singapore","IFO380","317","646","31/01/2024","Chevron"
"T039","MSC Zoe","Antwerp","MGO","708","586","08/01/2024","Total"
"T040","MSC Zoe","Fujairah","MGO","371","572","05/02/2024","Chevron"
